"name","?column?"
Science Fiction,0.00371110476734227805
Alternative,0.01141878389951470168
Heavy Metal,0.00799314872966029118
Bossa Nova,0.00428204396231801313
Drama,0.01827005423922352269
R&B/Soul,0.01741364544675992007
Alternative & Punk,0.09477590636597202398
Rock,0.37025406794176420211
Electronica/Dance,0.00856408792463602626
Soundtrack,0.01227519269197830431
Sci Fi & Fantasy,0.00742220953468455609
Blues,0.02312303739651727091
World,0.00799314872966029118
Opera,0.00028546959748786754
Reggae,0.01655723665429631744
Metal,0.10676562946046246075
Classical,0.02112475021410219812
Pop,0.01370254067941764202
Comedy,0.00485298315729374822
TV Shows,0.02654867256637168142
Latin,0.16528689694547530688
Hip Hop/Rap,0.00999143591207536397
Easy Listening,0.00685127033970882101
Jazz,0.03711104767342278047
Rock And Roll,0.00342563516985441051
