"invoice_id","total","diferencia_total"
1,1.98,-1.98
2,3.96,-1.98
3,5.94,-2.97
4,8.91,-4.95
5,13.86,12.87
6,0.99,-0.99
7,1.98,0.00
8,1.98,-1.98
9,3.96,-1.98
10,5.94,-2.97
11,8.91,-4.95
12,13.86,12.87
13,0.99,-0.99
14,1.98,0.00
15,1.98,-1.98
16,3.96,-1.98
17,5.94,-2.97
18,8.91,-4.95
19,13.86,12.87
20,0.99,-0.99
21,1.98,0.00
22,1.98,-1.98
23,3.96,-1.98
24,5.94,-2.97
25,8.91,-4.95
26,13.86,12.87
27,0.99,-0.99
28,1.98,0.00
29,1.98,-1.98
30,3.96,-1.98
31,5.94,-2.97
32,8.91,-4.95
33,13.86,12.87
34,0.99,-0.99
35,1.98,0.00
36,1.98,-1.98
37,3.96,-1.98
38,5.94,-2.97
39,8.91,-4.95
40,13.86,12.87
41,0.99,-0.99
42,1.98,0.00
43,1.98,-1.98
44,3.96,-1.98
45,5.94,-2.97
46,8.91,-4.95
47,13.86,12.87
48,0.99,-0.99
49,1.98,0.00
50,1.98,-1.98
51,3.96,-1.98
52,5.94,-2.97
53,8.91,-4.95
54,13.86,12.87
55,0.99,-0.99
56,1.98,0.00
57,1.98,-1.98
58,3.96,-1.98
59,5.94,-2.97
60,8.91,-4.95
61,13.86,12.87
62,0.99,-0.99
63,1.98,0.00
64,1.98,-1.98
65,3.96,-1.98
66,5.94,-2.97
67,8.91,-4.95
68,13.86,12.87
69,0.99,-0.99
70,1.98,0.00
71,1.98,-1.98
72,3.96,-1.98
73,5.94,-2.97
74,8.91,-4.95
75,13.86,12.87
76,0.99,-0.99
77,1.98,0.00
78,1.98,-1.98
79,3.96,-1.98
80,5.94,-2.97
81,8.91,-4.95
82,13.86,12.87
83,0.99,-0.99
84,1.98,0.00
85,1.98,-1.98
86,3.96,-2.98
87,6.94,-10.97
88,17.91,-0.95
89,18.86,17.87
90,0.99,-0.99
91,1.98,0.00
92,1.98,-1.98
93,3.96,-1.98
94,5.94,-2.97
95,8.91,-12.95
96,21.86,19.87
97,1.99,-1.99
98,3.98,0.00
99,3.98,0.02
100,3.96,-1.98
101,5.94,-3.97
102,9.91,-5.95
103,15.86,14.87
104,0.99,-0.99
105,1.98,0.00
106,1.98,-1.98
107,3.96,-1.98
108,5.94,-2.97
109,8.91,-4.95
110,13.86,12.87
111,0.99,-0.99
112,1.98,0.00
113,1.98,-1.98
114,3.96,-1.98
115,5.94,-2.97
116,8.91,-4.95
117,13.86,12.87
118,0.99,-0.99
119,1.98,0.00
120,1.98,-1.98
121,3.96,-1.98
122,5.94,-2.97
123,8.91,-4.95
124,13.86,12.87
125,0.99,-0.99
126,1.98,0.00
127,1.98,-1.98
128,3.96,-1.98
129,5.94,-2.97
130,8.91,-4.95
131,13.86,12.87
132,0.99,-0.99
133,1.98,0.00
134,1.98,-1.98
135,3.96,-1.98
136,5.94,-2.97
137,8.91,-4.95
138,13.86,12.87
139,0.99,-0.99
140,1.98,0.00
141,1.98,-1.98
142,3.96,-1.98
143,5.94,-2.97
144,8.91,-4.95
145,13.86,12.87
146,0.99,-0.99
147,1.98,0.00
148,1.98,-1.98
149,3.96,-1.98
150,5.94,-2.97
151,8.91,-4.95
152,13.86,12.87
153,0.99,-0.99
154,1.98,0.00
155,1.98,-1.98
156,3.96,-1.98
157,5.94,-2.97
158,8.91,-4.95
159,13.86,12.87
160,0.99,-0.99
161,1.98,0.00
162,1.98,-1.98
163,3.96,-1.98
164,5.94,-2.97
165,8.91,-4.95
166,13.86,12.87
167,0.99,-0.99
168,1.98,0.00
169,1.98,-1.98
170,3.96,-1.98
171,5.94,-2.97
172,8.91,-4.95
173,13.86,12.87
174,0.99,-0.99
175,1.98,0.00
176,1.98,-1.98
177,3.96,-1.98
178,5.94,-2.97
179,8.91,-4.95
180,13.86,12.87
181,0.99,-0.99
182,1.98,0.00
183,1.98,-1.98
184,3.96,-1.98
185,5.94,-2.97
186,8.91,-4.95
187,13.86,12.87
188,0.99,-0.99
189,1.98,0.00
190,1.98,-1.98
191,3.96,-1.98
192,5.94,-8.97
193,14.91,-6.95
194,21.86,20.87
195,0.99,-0.99
196,1.98,0.00
197,1.98,-1.98
198,3.96,-1.98
199,5.94,-2.97
200,8.91,-9.95
201,18.86,16.87
202,1.99,-0.99
203,2.98,-1.00
204,3.98,-3.98
205,7.96,-0.98
206,8.94,0.03
207,8.91,-6.95
208,15.86,14.87
209,0.99,-0.99
210,1.98,0.00
211,1.98,-1.98
212,3.96,-1.98
213,5.94,-2.97
214,8.91,-4.95
215,13.86,12.87
216,0.99,-0.99
217,1.98,0.00
218,1.98,-1.98
219,3.96,-1.98
220,5.94,-2.97
221,8.91,-4.95
222,13.86,12.87
223,0.99,-0.99
224,1.98,0.00
225,1.98,-1.98
226,3.96,-1.98
227,5.94,-2.97
228,8.91,-4.95
229,13.86,12.87
230,0.99,-0.99
231,1.98,0.00
232,1.98,-1.98
233,3.96,-1.98
234,5.94,-2.97
235,8.91,-4.95
236,13.86,12.87
237,0.99,-0.99
238,1.98,0.00
239,1.98,-1.98
240,3.96,-1.98
241,5.94,-2.97
242,8.91,-4.95
243,13.86,12.87
244,0.99,-0.99
245,1.98,0.00
246,1.98,-1.98
247,3.96,-1.98
248,5.94,-2.97
249,8.91,-4.95
250,13.86,12.87
251,0.99,-0.99
252,1.98,0.00
253,1.98,-1.98
254,3.96,-1.98
255,5.94,-2.97
256,8.91,-4.95
257,13.86,12.87
258,0.99,-0.99
259,1.98,0.00
260,1.98,-1.98
261,3.96,-1.98
262,5.94,-2.97
263,8.91,-4.95
264,13.86,12.87
265,0.99,-0.99
266,1.98,0.00
267,1.98,-1.98
268,3.96,-1.98
269,5.94,-2.97
270,8.91,-4.95
271,13.86,12.87
272,0.99,-0.99
273,1.98,0.00
274,1.98,-1.98
275,3.96,-1.98
276,5.94,-2.97
277,8.91,-4.95
278,13.86,12.87
279,0.99,-0.99
280,1.98,0.00
281,1.98,-1.98
282,3.96,-1.98
283,5.94,-2.97
284,8.91,-4.95
285,13.86,12.87
286,0.99,-0.99
287,1.98,0.00
288,1.98,-1.98
289,3.96,-1.98
290,5.94,-2.97
291,8.91,-4.95
292,13.86,12.87
293,0.99,-0.99
294,1.98,0.00
295,1.98,-1.98
296,3.96,-1.98
297,5.94,-4.97
298,10.91,-12.95
299,23.86,22.87
300,0.99,-0.99
301,1.98,0.00
302,1.98,-1.98
303,3.96,-1.98
304,5.94,-2.97
305,8.91,-7.95
306,16.86,14.87
307,1.99,-1.99
308,3.98,0.00
309,3.98,-3.98
310,7.96,-3.98
311,11.94,1.03
312,10.91,-5.95
313,16.86,15.87
314,0.99,-0.99
315,1.98,0.00
316,1.98,-1.98
317,3.96,-1.98
318,5.94,-2.97
319,8.91,-4.95
320,13.86,12.87
321,0.99,-0.99
322,1.98,0.00
323,1.98,-1.98
324,3.96,-1.98
325,5.94,-2.97
326,8.91,-4.95
327,13.86,12.87
328,0.99,-0.99
329,1.98,0.00
330,1.98,-1.98
331,3.96,-1.98
332,5.94,-2.97
333,8.91,-4.95
334,13.86,12.87
335,0.99,-0.99
336,1.98,0.00
337,1.98,-1.98
338,3.96,-1.98
339,5.94,-2.97
340,8.91,-4.95
341,13.86,12.87
342,0.99,-0.99
343,1.98,0.00
344,1.98,-1.98
345,3.96,-1.98
346,5.94,-2.97
347,8.91,-4.95
348,13.86,12.87
349,0.99,-0.99
350,1.98,0.00
351,1.98,-1.98
352,3.96,-1.98
353,5.94,-2.97
354,8.91,-4.95
355,13.86,12.87
356,0.99,-0.99
357,1.98,0.00
358,1.98,-1.98
359,3.96,-1.98
360,5.94,-2.97
361,8.91,-4.95
362,13.86,12.87
363,0.99,-0.99
364,1.98,0.00
365,1.98,-1.98
366,3.96,-1.98
367,5.94,-2.97
368,8.91,-4.95
369,13.86,12.87
370,0.99,-0.99
371,1.98,0.00
372,1.98,-1.98
373,3.96,-1.98
374,5.94,-2.97
375,8.91,-4.95
376,13.86,12.87
377,0.99,-0.99
378,1.98,0.00
379,1.98,-1.98
380,3.96,-1.98
381,5.94,-2.97
382,8.91,-4.95
383,13.86,12.87
384,0.99,-0.99
385,1.98,0.00
386,1.98,-1.98
387,3.96,-1.98
388,5.94,-2.97
389,8.91,-4.95
390,13.86,12.87
391,0.99,-0.99
392,1.98,0.00
393,1.98,-1.98
394,3.96,-1.98
395,5.94,-2.97
